Country/Territory	DrugGroup
Dominican Republic	Cocaine-type
Dominican Republic	Opioids
Haiti	Cannabis-type
Haiti	Cocaine-type
Haiti	Cannabis-type
Haiti	Cocaine-type
Haiti	Cannabis-type
Haiti	Cocaine-type
Haiti	Hallucinogens
Haiti	Opioids
Jamaica	Cannabis-type
Jamaica	Cocaine-type
Jamaica	Cannabis-type
Jamaica	Cannabis-type
Jamaica	Cannabis-type
Jamaica	Cocaine-type
Puerto Rico	Cocaine-type
Trinidad and Tobago	Cannabis-type
Trinidad and Tobago	Cocaine-type
Trinidad and Tobago	Cannabis-type
Trinidad and Tobago	Cocaine-type
Trinidad and Tobago	Cannabis-type
Trinidad and Tobago	Cocaine-type
Belize	ATS
Belize	Cannabis-type
Belize	Cannabis-type
Belize	Cannabis-type
Belize	Cocaine-type
Belize	Cocaine-type
Belize	Opioids
Belize	Cannabis-type
Belize	Cocaine-type
Belize	Cocaine-type
Belize	Cannabis-type
Belize	Cocaine-type
Belize	Opioids
Costa Rica	ATS
Costa Rica	Cannabis-type
Costa Rica	Cannabis-type
Costa Rica	Cannabis-type
Costa Rica	Cocaine-type
Costa Rica	Cocaine-type
Costa Rica	Hallucinogens
Costa Rica	Opioids
Costa Rica	Substances not under international control
Costa Rica	Substances not under international control
Costa Rica	Substances not under international control
Costa Rica	ATS
Costa Rica	Cannabis-type
Costa Rica	Cannabis-type
Costa Rica	Cannabis-type
Costa Rica	Cocaine-type
Costa Rica	Cocaine-type
Costa Rica	Hallucinogens
Costa Rica	Opioids
Costa Rica	Substances not under international control
Costa Rica	Substances not under international control
Costa Rica	Substances not under international control
Costa Rica	ATS
Costa Rica	Cannabis-type
Costa Rica	Cannabis-type
Costa Rica	Cocaine-type
Costa Rica	Cocaine-type
Costa Rica	Hallucinogens
Costa Rica	Opioids
Costa Rica	ATS
Costa Rica	Cannabis-type
Costa Rica	Cannabis-type
Costa Rica	Cannabis-type
Costa Rica	Cocaine-type
Costa Rica	Cocaine-type
Costa Rica	Cocaine-type
Costa Rica	Hallucinogens
Costa Rica	Opioids
Costa Rica	ATS
Costa Rica	Cannabis-type
Costa Rica	Cannabis-type
Costa Rica	Cannabis-type
Costa Rica	Cannabis-type
Costa Rica	Cocaine-type
Costa Rica	Cocaine-type
Costa Rica	Hallucinogens
Costa Rica	Opioids
El Salvador	ATS
El Salvador	ATS
El Salvador	Cannabis-type
El Salvador	Cannabis-type
El Salvador	Cannabis-type
El Salvador	Cocaine-type
El Salvador	Cocaine-type
El Salvador	Opioids
El Salvador	ATS
El Salvador	Cannabis-type
El Salvador	Cannabis-type
El Salvador	Cocaine-type
El Salvador	Cocaine-type
El Salvador	Opioids
El Salvador	ATS
El Salvador	Cannabis-type
El Salvador	Cannabis-type
El Salvador	Cocaine-type
El Salvador	Cocaine-type
El Salvador	Opioids
El Salvador	ATS
El Salvador	ATS
El Salvador	Cannabis-type
El Salvador	Cannabis-type
El Salvador	Cocaine-type
El Salvador	Cocaine-type
El Salvador	ATS
El Salvador	Cannabis-type
El Salvador	Cannabis-type
El Salvador	Cannabis-type
El Salvador	Cocaine-type
El Salvador	Cocaine-type
El Salvador	Opioids
Guatemala	ATS
Guatemala	ATS
Guatemala	Cannabis-type
Guatemala	Cannabis-type
Guatemala	Cannabis-type
Guatemala	Cocaine-type
Guatemala	Cocaine-type
Guatemala	Cocaine-type
Guatemala	Opioids
Guatemala	Opioids
Guatemala	Precursors
Guatemala	Precursors
Guatemala	ATS
Guatemala	ATS
Guatemala	ATS
Guatemala	Cannabis-type
Guatemala	Cannabis-type
Guatemala	Cannabis-type
Guatemala	Cocaine-type
Guatemala	Cocaine-type
Guatemala	Cocaine-type
Guatemala	Opioids
Guatemala	ATS
Guatemala	Cannabis-type
Guatemala	Cannabis-type
Guatemala	Cannabis-type
Guatemala	Cannabis-type
Guatemala	Cocaine-type
Guatemala	Cocaine-type
Guatemala	Opioids
Guatemala	Opioids
Guatemala	ATS
Guatemala	Cannabis-type
Guatemala	Cannabis-type
Guatemala	Cannabis-type
Guatemala	Cocaine-type
Guatemala	Cocaine-type
Guatemala	Opioids
Guatemala	ATS
Guatemala	ATS
Guatemala	Cannabis-type
Guatemala	Cannabis-type
Guatemala	Cannabis-type
Guatemala	Cocaine-type
Guatemala	Cocaine-type
Guatemala	Opioids
Honduras	Cannabis-type
Honduras	Cannabis-type
Honduras	Cannabis-type
Honduras	Cannabis-type
Honduras	Cannabis-type
Honduras	Cannabis-type
Honduras	Cocaine-type
Honduras	Cocaine-type
Honduras	Cocaine-type
